EntityID,ModelType,StartingResources,GrowthRate,Efficiency,InnovationFactor,MarketAdaptability,CompetitivePressure,SurvivalTime,ShocksExperienced,FinalResourceBalance,InvestmentReturn,PolicyImpact,RollingVolatility,BaseRiskExposure,WeightedRiskExposure,SustainabilityScore,ReinforcementSignal,RiskManagementScore,AdaptationIndex,ResourceVolatilityIndex,RelativeAdaptationIndex
IGM_00035,IGM,21328,0.0804,0.4713,0.6852,0.6793,1.167,16,0,0,460.99,-143.94,1.986,0.0425,0.1269,0.0377,-0.0892,7.5412,0.4655,1.0,1.2354
IGM_00036,IGM,24719,0.1035,0.386,0.7655,0.8715,1.0406,12,0,0,0.0,-0.62,1.9495,0.0635,0.1874,0.0232,-0.1642,4.6315,0.6672,1.0,1.7707
IGM_00037,IGM,23441,0.1141,0.4794,0.4695,0.5339,1.2152,17,0,0,316.61,-0.04,1.9922,0.0594,0.1778,0.0408,-0.137,8.15,0.2507,1.0,0.6654
IGM_00038,IGM,21016,0.0856,0.3376,0.6192,0.5642,1.3983,10,0,0,0.0,0.0,1.9165,0.0567,0.1653,0.0169,-0.1484,3.3758,0.3494,1.0,0.9273
IGM_00039,IGM,24337,0.0789,0.5027,0.6493,0.509,1.0818,17,0,0,0.0,0.31,2.0133,0.0392,0.1182,0.0427,-0.0755,8.5465,0.3305,1.0,0.8771
IGM_00040,IGM,23140,0.1055,0.4774,0.5575,0.8013,1.2915,16,0,0,301.3,-49.27,1.9552,0.0551,0.1629,0.0382,-0.1247,7.6389,0.4467,1.0,1.1855
IGM_00041,IGM,28756,0.0626,0.5228,0.3303,0.5338,1.1374,19,0,0,832.99,0.56,2.0351,0.0299,0.0907,0.0497,-0.041,9.9329,0.1763,1.0,0.4679
IGM_00042,IGM,20299,0.0926,0.5339,0.4871,0.5355,1.1356,19,0,0,0.0,91.36,1.9649,0.0431,0.1279,0.0507,-0.0772,10.1443,0.2608,1.0,0.6922
IGM_00043,IGM,29178,0.0527,0.4643,0.3059,0.938,0.8021,15,0,0,0.0,862.88,1.9779,0.0282,0.0841,0.0348,-0.0493,6.9647,0.2869,1.0,0.7614
IGM_00044,IGM,23528,0.0737,0.3554,0.6689,0.6152,0.8135,11,0,0,0.48,0.0,1.9888,0.0475,0.142,0.0195,-0.1224,3.9092,0.4115,1.0,1.0921
IGM_00045,IGM,22804,0.0843,0.5966,0.7178,0.7135,1.222,24,0,0,0.0,-27.27,2.0286,0.034,0.1029,0.0716,-0.0314,14.318,0.5122,1.0,1.3594
IGM_00046,IGM,23707,0.1078,0.3322,0.5406,0.5502,1.4532,11,0,0,0.76,78.63,2.009,0.072,0.2165,0.0183,-0.1982,3.6544,0.2975,1.0,0.7896
IGM_00047,IGM,27996,0.1078,0.336,0.2633,0.5306,0.7095,11,0,0,0.0,24.06,2.0237,0.0715,0.2163,0.0185,-0.1978,3.6964,0.1397,1.0,0.3708
IGM_00048,IGM,21331,0.0514,0.4481,0.1283,0.7458,0.7345,14,0,0,0.0,-488.18,2.0589,0.0284,0.0868,0.0314,-0.0554,6.2732,0.0957,1.0,0.254
IGM_00049,IGM,27992,0.0697,0.3383,0.8699,0.9989,1.0548,11,0,0,0.0,0.02,2.0475,0.0461,0.1406,0.0186,-0.122,3.7212,0.869,1.0,2.3063
IGM_00050,IGM,21344,0.0935,0.4275,0.2049,0.7495,1.2841,14,0,0,0.0,-887.51,2.0845,0.0535,0.1651,0.0299,-0.1351,5.9848,0.1536,1.0,0.4077
IGM_00051,IGM,25421,0.1038,0.3365,0.7014,0.6387,1.1176,11,0,0,0.2,0.0,1.9835,0.0689,0.2054,0.0185,-0.1869,3.7012,0.448,1.0,1.189
IGM_00052,IGM,22917,0.102,0.5541,0.4499,0.8246,0.788,21,0,0,0.01,-0.04,2.0055,0.0455,0.1367,0.0582,-0.0785,11.6361,0.3709,1.0,0.9844
IGM_00053,IGM,26572,0.1158,0.3215,0.1281,0.8291,1.2355,11,0,0,0.27,51.55,2.0448,0.0786,0.2393,0.0177,-0.2216,3.5367,0.1062,1.0,0.2819
IGM_00054,IGM,23006,0.0739,0.5859,0.3879,0.5646,1.1872,22,0,0,0.0,2.32,2.0085,0.0306,0.0921,0.0644,-0.0276,12.8894,0.219,1.0,0.5812
IGM_00055,IGM,21772,0.0622,0.4709,0.0168,0.8741,1.0446,15,0,0,28.66,0.0,1.9828,0.0329,0.0981,0.0353,-0.0628,7.0639,0.0147,1.0,0.039
IGM_00056,IGM,27298,0.0991,0.5722,0.5735,0.6759,0.6195,23,0,0,0.0,29.4,2.0335,0.0424,0.1286,0.0658,-0.0628,13.1617,0.3876,1.0,1.0287
IGM_00057,IGM,25991,0.0849,0.5898,0.8996,0.714,1.1787,24,0,0,0.0,115.13,2.0392,0.0348,0.1058,0.0708,-0.0351,14.1562,0.6423,1.0,1.7046
IGM_00058,IGM,28212,0.0805,0.504,0.1911,0.6232,1.3691,18,0,0,61.63,0.2,2.0938,0.0399,0.1235,0.0454,-0.0781,9.072,0.1191,1.0,0.3161
IGM_00059,IGM,27527,0.0993,0.5924,0.1227,0.8945,0.7271,25,0,0,46.75,-201.65,2.1068,0.0405,0.1258,0.074,-0.0517,14.8097,0.1098,1.0,0.2914
IGM_00060,IGM,20409,0.1179,0.5131,0.937,0.5091,1.2104,19,0,0,247.91,-0.01,2.0423,0.0574,0.1747,0.0487,-0.1259,9.7484,0.4771,1.0,1.2662
IGM_00061,IGM,22556,0.1154,0.4976,0.0498,0.5675,0.6662,17,0,0,0.0,0.88,1.9724,0.058,0.1724,0.0423,-0.1301,8.4594,0.0283,1.0,0.0751
IGM_00062,IGM,25988,0.0775,0.3173,0.9812,0.6792,0.5561,10,0,0,0.0,-6.82,1.9507,0.0529,0.156,0.0159,-0.1402,3.1734,0.6664,1.0,1.7686
IGM_00063,IGM,20412,0.0737,0.4249,0.1134,0.6929,0.5595,13,0,0,0.1,-15.05,1.9646,0.0424,0.1256,0.0276,-0.098,5.5233,0.0786,1.0,0.2086
IGM_00064,IGM,23262,0.0588,0.5599,0.9273,0.7728,0.8476,20,0,0,0.0,5.35,2.0409,0.0259,0.0787,0.056,-0.0227,11.1979,0.7166,1.0,1.9018
IGM_00065,IGM,28972,0.1188,0.4608,0.5313,0.521,1.2843,16,0,0,0.0,-64.05,2.0468,0.0641,0.1952,0.0369,-0.1584,7.3726,0.2768,1.0,0.7346
IGM_00066,IGM,20478,0.1153,0.5497,0.2811,0.6573,1.1208,21,0,0,0.0,2.43,2.0407,0.0519,0.1579,0.0577,-0.1002,11.5441,0.1848,1.0,0.4905
IGM_00067,IGM,23738,0.1187,0.424,0.1964,0.8572,1.0594,14,0,0,4.37,0.0,1.9898,0.0684,0.2044,0.0297,-0.1747,5.9364,0.1683,1.0,0.4467
IGM_00068,IGM,25110,0.0746,0.3928,0.005,0.9141,1.1689,12,0,0,0.05,0.0,1.9751,0.0453,0.1347,0.0236,-0.1111,4.7132,0.0046,1.0,0.0122
IGM_00069,IGM,25963,0.0502,0.5107,0.9018,0.5859,0.8208,17,0,0,0.0,1.61,2.0296,0.0246,0.0744,0.0434,-0.031,8.6816,0.5283,1.0,1.4021
IGM_00070,IGM,21200,0.0963,0.5353,0.0214,0.6832,1.2328,19,0,0,0.0,0.0,1.9616,0.0448,0.1326,0.0509,-0.0817,10.1708,0.0147,1.0,0.039
IGM_00071,IGM,20504,0.0927,0.4455,0.7079,0.5959,1.2486,14,0,0,0.0,-47.83,1.9518,0.0514,0.1516,0.0312,-0.1205,6.2374,0.4218,1.0,1.1194
IGM_00072,IGM,29253,0.0972,0.4453,0.3352,0.5535,0.8868,15,0,0,8.55,-841.06,2.0792,0.0539,0.166,0.0334,-0.1326,6.6793,0.1855,1.0,0.4923
IGM_00073,IGM,22760,0.0542,0.4696,0.1417,0.5526,0.6113,15,0,0,58.04,-317.55,2.0404,0.0288,0.0874,0.0352,-0.0522,7.0447,0.0783,1.0,0.2078
IGM_00074,IGM,27524,0.0922,0.3541,0.802,0.7235,1.2266,11,0,0,1.07,-177.37,1.9741,0.0595,0.177,0.0195,-0.1576,3.8955,0.5803,1.0,1.5401
IGM_00075,IGM,23110,0.0531,0.3479,0.7406,0.887,1.3815,11,0,0,765.95,6.4,1.9486,0.0346,0.1021,0.0191,-0.0829,3.8273,0.6569,1.0,1.7434
IGM_00076,IGM,24425,0.1117,0.566,0.3369,0.6332,1.4955,22,0,0,889.14,-0.17,1.9394,0.0485,0.1425,0.0623,-0.0803,12.4523,0.2134,1.0,0.5664
IGM_00077,IGM,23138,0.1099,0.3646,0.9973,0.6372,0.6031,12,0,0,0.0,0.0,2.0209,0.0698,0.211,0.0219,-0.1891,4.3752,0.6355,1.0,1.6866
IGM_00078,IGM,21374,0.0892,0.435,0.3151,0.5398,0.9914,14,0,0,0.0,-71.3,2.0123,0.0504,0.1519,0.0305,-0.1214,6.0906,0.1701,1.0,0.4514
IGM_00079,IGM,25045,0.0994,0.3465,0.1763,0.6035,0.9595,11,0,0,0.0,1.4,1.9589,0.0649,0.1922,0.0191,-0.1731,3.8113,0.1064,1.0,0.2824
IGM_00080,IGM,26294,0.0986,0.3218,0.9718,0.9617,1.3747,10,0,0,0.0,0.0,1.9518,0.0669,0.1974,0.0161,-0.1813,3.2181,0.9346,1.0,2.4804
IGM_00081,IGM,23999,0.0855,0.394,0.6878,0.8441,0.6548,12,0,0,0.0,0.0,1.9487,0.0518,0.1529,0.0236,-0.1292,4.7279,0.5806,1.0,1.5409
IGM_00082,IGM,25761,0.1181,0.4981,0.9318,0.9625,1.0871,18,0,0,0.0,0.0,2.0253,0.0592,0.1792,0.0448,-0.1344,8.9666,0.8968,1.0,2.3801
IGM_00083,IGM,25351,0.073,0.3005,0.9256,0.742,1.1494,10,0,0,9.1,229.94,2.008,0.0511,0.1536,0.015,-0.1386,3.0054,0.6869,1.0,1.823
IGM_00084,IGM,24307,0.0715,0.3594,0.2951,0.9738,0.675,11,0,0,0.0,0.0,1.969,0.0458,0.136,0.0198,-0.1163,3.9533,0.2874,1.0,0.7628
IGM_00085,IGM,24879,0.0536,0.328,0.1428,0.7201,1.4159,10,0,0,0.0,0.0,1.9545,0.036,0.1063,0.0164,-0.0899,3.2801,0.1028,1.0,0.2728
IGM_00086,IGM,24974,0.0633,0.3957,0.1915,0.8719,0.6716,12,0,0,0.0,-0.78,1.9938,0.0382,0.1145,0.0237,-0.0907,4.7487,0.1669,1.0,0.4429
IGM_00087,IGM,25817,0.0844,0.4445,0.7001,0.7373,0.9329,14,0,0,0.0,-33.21,1.9478,0.0469,0.1382,0.0311,-0.1071,6.2225,0.5162,1.0,1.37
IGM_00088,IGM,26677,0.117,0.5645,0.1896,0.59,1.3417,23,0,0,0.0,110.53,2.0835,0.051,0.1572,0.0649,-0.0923,12.9829,0.1119,1.0,0.297
IGM_00089,IGM,23927,0.0921,0.3352,0.7656,0.9602,1.0293,11,0,0,0.0,0.0,2.0153,0.0612,0.1846,0.0184,-0.1661,3.6876,0.7351,1.0,1.9509
IGM_00090,IGM,29634,0.0762,0.3846,0.4625,0.7716,0.7566,12,0,0,0.0,367.14,2.004,0.0469,0.1409,0.0231,-0.1178,4.6155,0.3569,1.0,0.9472
IGM_00091,IGM,23059,0.0573,0.5525,0.3798,0.6548,1.1568,19,0,0,157.61,0.7,1.9852,0.0256,0.0765,0.0525,-0.024,10.4973,0.2487,1.0,0.66
IGM_00092,IGM,29950,0.0865,0.3894,0.6046,0.9988,0.6051,13,0,0,0.0,0.0,2.0562,0.0528,0.1614,0.0253,-0.1361,5.062,0.6038,1.0,1.6025
IGM_00093,IGM,27888,0.0862,0.4816,0.8682,0.8901,0.8983,17,0,0,0.08,-1.66,2.0596,0.0447,0.1368,0.0409,-0.0959,8.1866,0.7728,1.0,2.051
IGM_00094,IGM,21934,0.1012,0.3861,0.3424,0.6365,0.6579,12,0,0,251.3,-4.52,1.9557,0.0621,0.1836,0.0232,-0.1604,4.6327,0.218,1.0,0.5786
IGM_00095,IGM,23140,0.0838,0.388,0.2492,0.7214,1.3118,12,0,0,97.28,-199.17,1.9919,0.0513,0.1534,0.0233,-0.1301,4.6557,0.1797,1.0,0.4769
IGM_00096,IGM,24638,0.1013,0.4893,0.6548,0.5913,0.7648,17,0,0,4.5,-3.83,2.0073,0.0518,0.1556,0.0416,-0.1141,8.3175,0.3872,1.0,1.0276
IGM_00097,IGM,29281,0.0735,0.4088,0.0976,0.5025,1.0119,13,0,0,1.48,258.39,2.0142,0.0435,0.1311,0.0266,-0.1045,5.3139,0.049,1.0,0.13
IGM_00098,IGM,20262,0.08,0.5674,0.6849,0.5266,1.3771,21,0,0,0.02,-16.45,2.007,0.0346,0.1041,0.0596,-0.0445,11.9155,0.3606,1.0,0.957
IGM_00099,IGM,25292,0.075,0.5714,0.2088,0.5934,1.1719,22,0,0,3.33,16.43,2.0647,0.0321,0.0984,0.0629,-0.0356,12.5715,0.1239,1.0,0.3288
IGM_00100,IGM,22930,0.0629,0.3226,0.071,0.6772,1.1424,10,0,0,0.0,0.0,1.9794,0.0426,0.127,0.0161,-0.1109,3.2255,0.0481,1.0,0.1277
IGM_00101,IGM,21403,0.1115,0.4168,0.655,0.5074,0.7622,14,0,0,0.0,0.0,2.015,0.065,0.1961,0.0292,-0.1669,5.8354,0.3323,1.0,0.8819
IGM_00102,IGM,24365,0.0681,0.5618,0.3934,0.961,1.3416,21,0,0,27.08,-10.23,2.0831,0.0299,0.0921,0.059,-0.0331,11.797,0.3781,1.0,1.0035
IGM_00103,IGM,26828,0.0722,0.5117,0.1535,0.8051,1.3877,18,0,0,0.06,0.0,2.058,0.0353,0.1078,0.0461,-0.0618,9.2102,0.1236,1.0,0.328
IGM_00104,IGM,22133,0.1189,0.5074,0.0674,0.8414,1.2199,18,0,0,23.84,8.69,1.9738,0.0586,0.1742,0.0457,-0.1285,9.1334,0.0567,1.0,0.1505
IGM_00105,IGM,29484,0.0628,0.3218,0.8394,0.5488,1.0915,10,0,0,0.0,-46.77,1.985,0.0426,0.1271,0.0161,-0.111,3.2179,0.4606,1.0,1.2224
IGM_00106,IGM,25011,0.1,0.4339,0.9104,0.7588,0.5393,14,0,0,0.0,0.0,1.9798,0.0566,0.1687,0.0304,-0.1384,6.0742,0.6908,1.0,1.8334
IGM_00107,IGM,20609,0.0692,0.3247,0.0591,0.5337,0.7544,10,0,0,1104.99,33.98,1.8809,0.0467,0.1345,0.0162,-0.1183,3.2471,0.0315,1.0,0.0836
IGM_00108,IGM,23740,0.098,0.5504,0.9181,0.9935,1.1482,21,0,0,0.33,-37.22,2.0307,0.0441,0.1335,0.0578,-0.0757,11.5576,0.9121,1.0,2.4207
IGM_00109,IGM,24054,0.105,0.5275,0.7769,0.5703,1.3195,19,0,0,0.06,15.87,2.0008,0.0496,0.1488,0.0501,-0.0987,10.0226,0.4431,1.0,1.176
IGM_00110,IGM,22405,0.0516,0.3786,0.9457,0.5809,1.3914,11,0,0,0.0,20.97,1.9446,0.0321,0.0945,0.0208,-0.0736,4.1647,0.5493,1.0,1.4578
IGM_00111,IGM,25231,0.0613,0.5687,0.4955,0.9452,1.2833,21,0,0,6.74,0.0,2.0467,0.0264,0.0806,0.0597,-0.0209,11.9421,0.4683,1.0,1.2429
IGM_00112,IGM,28270,0.0727,0.5121,0.0444,0.52,0.8033,18,0,0,0.06,43.52,2.0576,0.0354,0.1084,0.0461,-0.0623,9.2182,0.0231,1.0,0.0613
IGM_00113,IGM,26642,0.0917,0.4861,0.1642,0.9578,1.4923,17,0,0,2.51,0.0,2.0559,0.0472,0.1441,0.0413,-0.1028,8.2632,0.1573,1.0,0.4175
IGM_00114,IGM,28354,0.1059,0.5936,0.4609,0.5545,0.7348,25,0,0,491.03,0.38,2.0174,0.043,0.1298,0.0742,-0.0556,14.8403,0.2555,1.0,0.6781
IGM_00115,IGM,26856,0.0582,0.4117,0.5883,0.8529,0.586,13,0,0,0.0,-0.1,2.037,0.0342,0.104,0.0268,-0.0772,5.3522,0.5017,1.0,1.3315
IGM_00116,IGM,25111,0.1082,0.5269,0.015,0.8255,0.6363,20,0,0,0.7,-342.86,2.0618,0.0512,0.1568,0.0527,-0.1041,10.5376,0.0124,1.0,0.0329
IGM_00117,IGM,27943,0.0959,0.3789,0.5035,0.8953,1.3765,12,0,0,0.0,0.01,1.9714,0.0596,0.1771,0.0227,-0.1543,4.547,0.4508,1.0,1.1964
IGM_00118,IGM,27606,0.1167,0.4266,0.0103,0.8332,1.1864,14,0,0,587.62,-0.07,1.9422,0.0669,0.1968,0.0299,-0.1669,5.973,0.0086,1.0,0.0228
IGM_00119,IGM,28698,0.1171,0.453,0.5097,0.5348,0.5031,16,0,0,5.28,-1.74,2.0618,0.0641,0.1962,0.0362,-0.1599,7.2484,0.2726,1.0,0.7235
IGM_00120,IGM,20676,0.0912,0.4237,0.2402,0.6127,0.9758,13,0,0,0.0,248.14,1.9262,0.0526,0.1539,0.0275,-0.1263,5.508,0.1472,1.0,0.3907
IGM_00121,IGM,27318,0.0839,0.4352,0.826,0.8199,0.6813,14,0,0,0.0,-4.59,1.9967,0.0474,0.142,0.0305,-0.1115,6.0923,0.6773,1.0,1.7975
IGM_00122,IGM,24124,0.0705,0.5529,0.5525,0.7988,0.6544,20,0,0,0.28,-2.23,2.0215,0.0315,0.0953,0.0553,-0.04,11.057,0.4414,1.0,1.1715
IGM_00123,IGM,26491,0.0789,0.5914,0.4688,0.7082,1.332,23,0,0,0.11,6.97,2.0088,0.0322,0.097,0.068,-0.029,13.602,0.332,1.0,0.8811
IGM_00124,IGM,29954,0.0601,0.4239,0.8972,0.5504,0.9646,13,0,0,0.0,-206.82,2.0026,0.0346,0.1039,0.0276,-0.0763,5.5112,0.4939,1.0,1.3108
IGM_00125,IGM,28316,0.1134,0.4287,0.1295,0.5579,0.8012,14,0,0,0.0,-172.75,1.9961,0.0648,0.1941,0.03,-0.1641,6.0015,0.0723,1.0,0.1919
IGM_00126,IGM,23672,0.0927,0.4315,0.2041,0.8964,0.7502,14,0,0,0.0,-150.23,2.0142,0.0527,0.1589,0.0302,-0.1287,6.0415,0.183,1.0,0.4857
IGM_00127,IGM,29892,0.0545,0.4902,0.2461,0.6613,0.7651,16,0,0,416.42,0.0,2.0152,0.0278,0.0838,0.0392,-0.0446,7.8429,0.1628,1.0,0.4321
IGM_00128,IGM,25334,0.0773,0.3392,0.5069,0.5108,0.5451,11,0,0,296.06,-8.61,1.9852,0.0511,0.1525,0.0187,-0.1339,3.7313,0.2589,1.0,0.6871
IGM_00129,IGM,25618,0.0805,0.5333,0.0353,0.6916,1.4321,19,0,0,0.0,0.0,2.0815,0.0376,0.1157,0.0507,-0.0651,10.1326,0.0244,1.0,0.0648
IGM_00130,IGM,25351,0.0621,0.5974,0.7063,0.5162,1.1278,23,0,0,216.71,0.0,2.0465,0.025,0.0762,0.0687,-0.0075,13.74,0.3646,1.0,0.9676
IGM_00131,IGM,24428,0.1196,0.5026,0.9348,0.6279,1.1842,18,0,0,0.0,-598.42,2.0413,0.0595,0.1808,0.0452,-0.1356,9.0475,0.587,1.0,1.5579
IGM_00132,IGM,22887,0.1114,0.5074,0.9946,0.5804,0.9025,18,0,0,0.0,-656.61,2.0281,0.0549,0.1661,0.0457,-0.1205,9.1341,0.5773,1.0,1.5321
IGM_00133,IGM,20757,0.0822,0.3365,0.2861,0.5746,1.31,10,0,0,1117.38,-0.46,1.8407,0.0545,0.1549,0.0168,-0.138,3.3646,0.1644,1.0,0.4363
IGM_00134,IGM,22390,0.073,0.4016,0.4784,0.6164,0.8018,13,0,0,0.05,0.01,2.0284,0.0437,0.1322,0.0261,-0.1061,5.2213,0.2949,1.0,0.7827
IGM_00135,IGM,28515,0.1134,0.5178,0.59,0.7716,0.8374,19,0,0,1.45,-483.9,2.0434,0.0547,0.1664,0.0492,-0.1172,9.8383,0.4553,1.0,1.2084
IGM_00136,IGM,22809,0.1178,0.5769,0.8985,0.972,0.5957,24,0,0,330.45,0.05,1.9845,0.0498,0.1488,0.0692,-0.0795,13.8452,0.8734,1.0,2.318
IGM_00137,IGM,28798,0.1198,0.3767,0.0109,0.5011,1.2583,12,0,0,0.0,-1.31,1.9703,0.0747,0.2218,0.0226,-0.1992,4.52,0.0054,1.0,0.0143
IGM_00138,IGM,27161,0.093,0.4209,0.4324,0.5634,0.7144,13,0,0,0.0,-9.35,1.9485,0.0538,0.1587,0.0274,-0.1314,5.4712,0.2436,1.0,0.6465
IGM_00139,IGM,21921,0.095,0.5702,0.3585,0.8412,1.3056,22,0,0,0.21,-12.42,1.9963,0.0408,0.1223,0.0627,-0.0596,12.5439,0.3016,1.0,0.8004
